Keyword,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
musical,1.0,6.0,13.0,14.0,11.0,19.0,2.0,5.0,10.0,8.0,10.0,9.0,4.0,6.0,8.0,3.0,5.0,12.0,15.0,18.0,38.0,33.0,4.0
rock,1.0,7.0,8.0,17.0,23.0,14.0,12.0,9.0,24.0,21.0,10.0,11.0,14.0,4.0,10.0,5.0,5.0,8.0,6.0,8.0,7.0,16.0,2.0
hiphop,5.0,2.0,9.0,28.0,27.0,20.0,11.0,7.0,4.0,16.0,4.0,7.0,0.0,1.0,0.0,0.0,6.0,11.0,8.0,14.0,12.0,26.0,1.0
funk,2.0,4.0,8.0,19.0,23.0,16.0,3.0,4.0,10.0,7.0,7.0,5.0,3.0,4.0,4.0,2.0,7.0,17.0,17.0,18.0,12.0,24.0,2.0
electronic,10.0,14.0,8.0,9.0,16.0,25.0,2.0,6.0,11.0,8.0,1.0,8.0,13.0,1.0,1.0,6.0,9.0,12.0,12.0,7.0,12.0,7.0,0.0
soul,11.0,3.0,7.0,12.0,3.0,12.0,3.0,9.0,6.0,8.0,6.0,8.0,11.0,5.0,6.0,0.0,9.0,12.0,9.0,19.0,11.0,26.0,0.0
blues,0.0,7.0,2.0,9.0,7.0,7.0,4.0,4.0,21.0,5.0,3.0,6.0,3.0,1.0,2.0,2.0,3.0,6.0,8.0,30.0,16.0,38.0,2.0
pop,5.0,3.0,4.0,10.0,8.0,11.0,4.0,7.0,10.0,16.0,6.0,5.0,14.0,4.0,3.0,0.0,2.0,11.0,12.0,15.0,15.0,16.0,0.0
free jazz,1.0,3.0,7.0,6.0,11.0,12.0,5.0,1.0,2.0,5.0,8.0,5.0,5.0,6.0,9.0,2.0,1.0,5.0,12.0,5.0,9.0,22.0,4.0
noise,4.0,4.0,21.0,9.0,7.0,11.0,4.0,6.0,11.0,10.0,6.0,4.0,2.0,0.0,10.0,5.0,3.0,10.0,1.0,7.0,3.0,4.0,2.0
instrumental,1.0,2.0,2.0,7.0,17.0,8.0,9.0,4.0,8.0,10.0,7.0,3.0,5.0,3.0,2.0,3.0,6.0,7.0,5.0,9.0,7.0,13.0,0.0
metal,0.0,0.0,0.0,4.0,7.0,3.0,10.0,2.0,3.0,26.0,5.0,14.0,9.0,8.0,15.0,7.0,6.0,0.0,3.0,0.0,2.0,1.0,0.0
ambient,0.0,4.0,3.0,10.0,7.0,12.0,5.0,2.0,4.0,3.0,6.0,1.0,7.0,1.0,1.0,1.0,3.0,3.0,19.0,12.0,8.0,7.0,4.0
fusion,1.0,2.0,5.0,11.0,13.0,4.0,6.0,3.0,0.0,4.0,1.0,2.0,7.0,1.0,1.0,2.0,7.0,12.0,17.0,9.0,5.0,6.0,0.0
experimental,0.0,0.0,7.0,7.0,6.0,11.0,4.0,1.0,5.0,0.0,3.0,3.0,2.0,2.0,4.0,0.0,9.0,13.0,7.0,11.0,9.0,14.0,1.0
dance,1.0,6.0,8.0,10.0,2.0,7.0,4.0,5.0,8.0,7.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,11.0,5.0,13.0,10.0,7.0,0.0
avantgarde,0.0,2.0,9.0,6.0,9.0,17.0,2.0,0.0,0.0,4.0,7.0,0.0,0.0,5.0,1.0,2.0,4.0,11.0,9.0,8.0,9.0,10.0,1.0
classical,1.0,0.0,7.0,2.0,4.0,4.0,0.0,0.0,1.0,3.0,11.0,3.0,2.0,6.0,2.0,1.0,1.0,10.0,13.0,4.0,8.0,8.0,0.0
house,2.0,3.0,7.0,7.0,9.0,8.0,0.0,2.0,1.0,3.0,2.0,0.0,2.0,9.0,2.0,0.0,1.0,8.0,1.0,7.0,11.0,6.0,0.0
breaks,1.0,5.0,1.0,11.0,10.0,8.0,0.0,3.0,4.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,3.0,10.0,2.0,5.0,9.0,5.0,0.0
