,Word,Count
0,Miles Davis,49
1,John Coltrane,40
2,Sun Ra,23
3,Kamasi Washington,23
4,Pharoah Sanders,21
5,Alice Coltrane,21
6,Thundercat,20
7,Ornette Coleman,20
8,Nina Simone,18
9,Robert Glasper,17
10,Cecil Taylor,16
11,Herbie Hancock,15
12,John Zorn,15
13,Anthony Braxton,14
14,Flying Lotus,13
15,Makaya McCraven,13
16,Duke Ellington,13
17,Mary Halvorson,13
18,Vijay Iyer,12
19,Daedelus,12
20,Kendrick Lamar,11
21,Albert Ayler,11
22,Charles Mingus,11
23,J Dilla,10
24,Jeff Parker,10
25,Matthew Shipp,10
26,Gil Scott-Heron,9
27,Thelonious Monk,9
28,Shabaka Hutchings,9
29,Esperanza Spalding,9
30,Craig Taborn,9
31,Wadada Leo Smith,9
32,Amon Tobin,9
33,Zs,9
34,Don Cherry,8
35,Brian Eno,8
36,Christian Scott aTunde Adjuah,8
37,Four Tet,8
38,Eric Dolphy,7
39,Okkyung Lee,7
40,Stevie Wonder,7
41,Chet Baker,7
42,Nels Cline,7
43,Bonobo,7
44,Billie Holiday,7
45,Sam Gendel,6
46,Piotr Orlov,6
47,Tomeka Reid,6
48,Art Ensemble of Chicago,6
49,Roscoe Mitchell,6
50,Phillip Mlynar,6
51,Sons of Kemet,6
52,Erykah Badu,6
53,Merzbow,6
54,Wayne Shorter,6
55,William Parker,6
56,Shining,6
57,Mats Gustafsson,6
58,UNKLE,6
59,Fela Kuti,5
60,Jimi Hendrix,5
61,Madlib,5
62,Steve Reich,5
63,The Nels Cline Singers,5
64,Bill Evans,5
65,Angel Bat Dawid,5
66,Sen Morimoto,5
67,David Axelrod,5
68,Roy Ayers,5
69,Bill Orcutt,5
70,BADBADNOTGOOD,5
71,Jon Hassell,5
72,Tyshawn Sorey,5
73,Tortoise,5
74,Matana Roberts,5
75,Coltrane,5
76,Stephen M,5
77,Bob Dylan,5
78,Onyx Collective,5
79,Daniel Martin-McCormick,5
80,John Cage,5
81,Arve Henriksen,5
82,Michael J,5
83,Coldcut,5
84,Roots Manuva,5
85,Mungolian Jet Set,5
86,Alog,5
87,Steve Reid,5
88,Jaga Jazzist,5
89,Thievery Corporation,5
90,Brandon Stosuy,5
91,DJ Spooky,5
92,Spring Heel Jack,5
93,Christopher Dare,5
94,David M,5
95,Archie Shepp,4
96,Karriem Riggins,4
97,Rob Mazurek,4
98,Wilco,4
99,Nate Wooley,4
100,Funkadelic,4
101,Bobby Womack,4
102,Sonny Rollins,4
103,Kamaal Williams,4
104,Dilla,4
105,Hugh Masekela,4
106,Junius Paul,4
107,Cécile McLorin Salvant,4
108,The Epic,4
109,Tony Allen,4
110,Joni Mitchell,4
111,John,4
112,Jamie xx,4
113,Keith Jarrett,4
114,Frank Sinatra,4
115,Marc Ribot,4
116,Derek Bailey,4
117,James Brown,4
118,Chris Corsano,4
119,Joseph Shabason,4
